sample,component,rh,mc,constant,compliance,stiffness
1_cT-037-178-389,exx,35,7.992733684203689,E_cRT,0.00040027443770627644,2498.2859403422744
1_cT-037-178-389,eyy,35,7.992733684203689,E_cTT,0.0015030425601488795,665.3171550251697
1_cT-037-178-389_symm,exx,35,7.992733684203689,E_avgRT,0.00040027443770627644,2498.2859403422744
1_cT-037-178-389_symm,eyy,35,7.992733684203689,E_avgTT,0.0015030425601488795,665.3171550251697
1_cT-037-178-402,exx,90,19.3727152253204,E_cRT,0.0006357003579387316,1573.0681719961833
1_cT-037-178-402,eyy,90,19.3727152253204,E_cTT,0.001900737462470007,526.1115855003461
1_cT-037-178-402_symm,exx,90,19.3727152253204,E_avgRT,0.0006357003579387316,1573.0681719961833
1_cT-037-178-402_symm,eyy,90,19.3727152253204,E_avgTT,0.001900737462470007,526.1115855003461
1_cT-037-178-429,exx,90,19.512817518195284,E_cRT,0.0006423092669108532,1556.8824108819701
1_cT-037-178-429,eyy,90,19.512817518195284,E_cTT,0.0019095764998214493,523.6763230451897
1_cT-037-178-429_symm,exx,90,19.512817518195284,E_avgRT,0.0006423092669108532,1556.8824108819701
1_cT-037-178-429_symm,eyy,90,19.512817518195284,E_avgTT,0.0019095764998214493,523.6763230451897
1_cT-037-178-455,exx,65,13.184797381940328,E_cRT,0.0004604875249457298,2171.6114896225554
1_cT-037-178-455,eyy,65,13.184797381940328,E_cTT,0.0016229375106695677,616.1666690342469
1_cT-037-178-455_symm,exx,65,13.184797381940328,E_avgRT,0.0004604875249457298,2171.6114896225554
1_cT-037-178-455_symm,eyy,65,13.184797381940328,E_avgTT,0.0016229375106695677,616.1666690342469
1_cT-037-178-549,exx,65,11.993110491986398,E_cRT,0.0004423304318426183,2260.753337350755
1_cT-037-178-549,eyy,65,11.993110491986398,E_cTT,0.0015883637949958103,629.5786917018199
1_cT-037-178-549_symm,exx,65,11.993110491986398,E_avgRT,0.0004423304318426183,2260.753337350755
1_cT-037-178-549_symm,eyy,65,11.993110491986398,E_avgTT,0.0015883637949958103,629.5786917018199
1_cT-037-178-575,exx,65,11.672626380727799,E_cRT,0.00043796514552890345,2283.2867186094495
1_cT-037-178-575,eyy,65,11.672626380727799,E_cTT,0.001579856205012285,632.9689985882126
1_cT-037-178-575_symm,exx,65,11.672626380727799,E_avgRT,0.00043796514552890345,2283.2867186094495
1_cT-037-178-575_symm,eyy,65,11.672626380727799,E_avgTT,0.001579856205012285,632.9689985882126
1_cT-037-178-602,exx,35,7.951772997597718,E_cRT,0.0003999637982016411,2500.226281719256
1_cT-037-178-602,eyy,35,7.951772997597718,E_cTT,0.001502383321252503,665.6090931349814
1_cT-037-178-602_symm,exx,35,7.951772997597718,E_avgRT,0.0003999637982016411,2500.226281719256
1_cT-037-178-602_symm,eyy,35,7.951772997597718,E_avgTT,0.001502383321252503,665.6090931349814
1_sLR-119-150-091,exy,65,12.982527190849636,G_LR,0.0007118587783241092,1404.7730117963092
1_sLR-119-150-091_symm,exy,65,12.982527190849636,G_avgRL,0.0007118587783241092,1404.7730117963092
1_sLR-119-150-165,exy,35,8.051037014695876,G_LR,0.000662266015258968,1509.9672593179446
1_sLR-119-150-165_symm,exy,35,8.051037014695876,G_avgRL,0.000662266015258968,1509.9672593179446
1_sLR-119-150-239,exy,90,19.91783138662233,G_LR,0.00085224535404512,1173.3710195703309
1_sLR-119-150-239_symm,exy,90,19.91783138662233,G_avgRL,0.00085224535404512,1173.3710195703309
1_sLR-119-150-535,exy,35,8.152330335303674,G_LR,0.0006629968698534936,1508.302746920926
1_sLR-119-150-535_symm,exy,35,8.152330335303674,G_avgRL,0.0006629968698534936,1508.302746920926
1_sLR-119-150-831,exy,35,7.941269007304386,G_LR,0.0006614861114895277,1511.7475372963013
1_sLR-119-150-831_symm,exy,35,7.941269007304386,G_avgRL,0.0006614861114895277,1511.7475372963013
1_sLR-122-150-132,exy,35,7.879396358396934,G_LR,0.0006610520205024281,1512.7402518790532
1_sLR-122-150-132_symm,exy,35,7.879396358396934,G_avgRL,0.0006610520205024281,1512.7402518790532
1_sLR-122-150-206,exy,35,7.9805963919235365,G_LR,0.0006617640917064216,1511.1125135566135
1_sLR-122-150-206_symm,exy,35,7.9805963919235365,G_avgRL,0.0006617640917064216,1511.1125135566135
1_sLR-122-150-354,exy,35,7.992733684203689,G_LR,0.0006618502071674832,1510.9158978429496
1_sLR-122-150-354_symm,exy,35,7.992733684203689,G_avgRL,0.0006618502071674832,1510.9158978429496
1_sLR-122-150-428,exy,65,11.672626380727799,G_LR,0.0006956397327275351,1437.5257090032771
1_sLR-122-150-428_symm,exy,65,11.672626380727799,G_avgRL,0.0006956397327275351,1437.5257090032771
1_sLR-122-150-576,exy,65,11.993110491986398,G_LR,0.0006993819264578874,1429.8339178775075
1_sLR-122-150-576_symm,exy,65,11.993110491986398,G_avgRL,0.0006993819264578874,1429.8339178775075
1_sLR-122-150-650,exy,90,19.3727152253204,G_LR,0.0008367557112059374,1195.0919325770649
1_sLR-122-150-650_symm,exy,90,19.3727152253204,G_avgRL,0.0008367557112059374,1195.0919325770649
1_sLR-122-150-798,exy,90,19.512817518195284,G_LR,0.0008406420803990593,1189.5669076252907
1_sLR-122-150-798_symm,exy,90,19.512817518195284,G_avgRL,0.0008406420803990593,1189.5669076252907
1_sLR-122-150-872,exy,65,13.184797381940328,G_LR,0.0007145892803021829,1399.4052633662845
1_sLR-122-150-872_symm,exy,65,13.184797381940328,G_avgRL,0.0007145892803021829,1399.4052633662845
1_sLT-012-145-024,exy,35,7.941269007304386,G_LT,0.0006106167424778195,1637.6884720554888
1_sLT-012-145-024_symm,exy,35,7.941269007304386,G_avgTL,0.0006106167424778195,1637.6884720554888
1_sLT-012-145-098,exy,35,8.051037014695876,G_LT,0.0006115478581236314,1635.1950002216156
1_sLT-012-145-098_symm,exy,35,8.051037014695876,G_avgTL,0.0006115478581236314,1635.1950002216156
1_sLT-012-145-172,exy,90,19.91783138662233,G_LT,0.0008592869751796998,1163.7555658176634
1_sLT-012-145-172_symm,exy,90,19.91783138662233,G_avgTL,0.0008592869751796998,1163.7555658176634
1_sLT-012-145-690,exy,35,8.152330335303674,G_LT,0.0006124209987661081,1632.8636706036814
1_sLT-012-145-690_symm,exy,35,8.152330335303674,G_avgTL,0.0006124209987661081,1632.8636706036814
1_sLT-012-153-025,exy,35,7.879396358396934,G_LT,0.0006100987661607118,1639.0788761840909
1_sLT-012-153-025_symm,exy,35,7.879396358396934,G_avgTL,0.0006100987661607118,1639.0788761840909
1_sLT-012-153-099,exy,35,7.9805963919235365,G_LT,0.0006109485452050275,1636.7990526344754
1_sLT-012-153-099_symm,exy,35,7.9805963919235365,G_avgTL,0.0006109485452050275,1636.7990526344754
1_sLT-012-153-173,exy,35,7.951772997597718,G_LT,0.0006107051683273687,1637.451346185349
1_sLT-012-153-173_symm,exy,35,7.951772997597718,G_avgTL,0.0006107051683273687,1637.451346185349
