constant,sample,mc,ln_a
G_avgRL,1_sLR-122-150-872_symm,13.184797381940328,-4.040047381993373
G_avgRL,1_sRL-033-120-046_symm,20.221325876563263,1.8955815316748712
G_avgRL,1_sRL-037-121-048_symm,7.879396358396934,0.5155650206510263
G_avgRL,1_sRL-037-121-086_symm,7.9805963919235365,2.129651868153225
G_avgRL,1_sRL-037-121-124_symm,7.951772997597718,0.7593992471614293
G_avgRL,1_sRL-037-121-162_symm,7.992733684203689,0.8069235595980331
G_avgRL,1_sRL-037-121-200_symm,13.184797381940328,-1.9267200493565255
G_avgRL,1_sRL-037-121-238_symm,11.672626380727799,0.6498367823038969
G_avgRL,1_sRL-037-121-276_symm,11.993110491986398,-0.21775886384645204
G_avgRL,1_sRL-037-121-390_symm,19.3727152253204,2.024451971888098
G_avgRL,1_sRL-037-121-428_symm,19.512817518195284,1.3674400020785171
G_avgRL,1_sRL-037-121-542_symm,12.982527190849636,-0.730451522741788
G_avgRL,1_sRL-037-121-580_symm,7.941269007304386,0.3240857231272418
G_avgRL,1_sRL-037-121-618_symm,8.051037014695876,0.5118482577102412
G_avgRL,1_sRL-037-121-656_symm,19.91783138662233,3.1289812716972136
G_avgRL,1_sRL-037-121-808_symm,8.152330335303674,1.275655289379209
G_avgRT,1_sRT-271-111-530_symm,11.672626380727799,2.6633728367091685
G_avgRT,1_sRT-271-111-537_symm,11.993110491986398,2.3983435104256614
G_avgRT,1_sRT-271-111-544_symm,13.184797381940328,-3.8066644194482127
G_avgRT,1_sRT-271-111-552_symm,7.992733684203689,-2.3628058153300486
G_avgRT,1_sRT-271-111-559_symm,7.951772997597718,2.0591335706528113
G_avgRT,1_sRT-271-111-566_symm,7.9805963919235365,-0.935579214849799
G_avgRT,1_sRT-271-111-573_symm,7.879396358396934,-3.3616194802331627
G_avgRT,1_sRT-271-111-588_symm,19.3727152253204,6.62119008266383
G_avgRT,1_sRT-271-111-595_symm,19.30919511933619,7.101276827797147
G_avgRT,1_sRT-271-111-603_symm,19.512817518195284,10.160094132204062
G_avgRT,1_sRT-271-111-610_symm,12.982527190849636,-2.777509241491945
G_avgRT,1_sRT-271-111-617_symm,7.941269007304386,2.0956507120083785
G_avgRT,1_sRT-271-111-625_symm,8.051037014695876,-2.365258846219902
G_avgRT,1_sRT-271-111-697_symm,20.221325876563263,11.276321561826645
G_avgRT,1_sRT-271-111-727_symm,8.152330335303674,3.362762464094935
G_avgRT,1_sTR-271-129-354_symm,8.152330335303674,1.6286408410924214
G_avgRT,1_sTR-271-129-376_symm,7.941269007304386,1.779682850978059
G_avgRT,1_sTR-271-129-405_symm,12.982527190849636,1.1664375895448362
G_avgRT,1_sTR-271-129-412_symm,19.512817518195284,9.652846258846182
G_avgRT,1_sTR-271-129-419_symm,19.30919511933619,11.50690412957345
G_avgRT,1_sTR-271-129-427_symm,19.3727152253204,6.523970805403984
G_avgRT,1_sTR-271-129-449_symm,7.879396358396934,2.10502934112516
G_avgRT,1_sTR-271-129-456_symm,7.9805963919235365,-3.272971450771699
G_avgRT,1_sTR-271-129-463_symm,7.951772997597718,2.0270331552197227
G_avgRT,1_sTR-271-129-471_symm,7.992733684203689,-0.632517862725301
G_avgRT,1_sTR-271-129-478_symm,13.184797381940328,-1.1221737978364068
G_avgRT,1_sTR-271-129-485_symm,11.993110491986398,-2.0182275695438427
G_avgRT,1_sTR-271-129-492_symm,11.672626380727799,0.9183719279539098
G_avgTL,1_sLT-012-145-024_symm,7.941269007304386,1.1741951009332041
G_avgTL,1_sLT-012-145-098_symm,8.051037014695876,0.2859401245128179
G_avgTL,1_sLT-012-145-172_symm,19.91783138662233,2.3289432402558603
G_avgTL,1_sLT-012-145-690_symm,8.152330335303674,-2.0839145044495506
G_avgTL,1_sLT-012-153-025_symm,7.879396358396934,-1.3254687103716005
G_avgTL,1_sLT-012-153-099_symm,7.9805963919235365,0.128826383397449
G_avgTL,1_sLT-012-153-173_symm,7.951772997597718,0.7574982799630448
G_avgTL,1_sLT-012-153-247_symm,13.184797381940328,-1.1502726072283984
G_avgTL,1_sLT-012-153-395_symm,11.672626380727799,0.6225587833219279
G_avgTL,1_sLT-012-153-469_symm,7.992733684203689,0.4486180870454497
G_avgTL,1_sLT-012-153-543_symm,19.3727152253204,2.662618062231772
G_avgTL,1_sLT-012-153-765_symm,11.672626380727799,0.769220685553142
G_avgTL,1_sLT-012-153-839_symm,19.512817518195284,3.9744911563483356
G_avgTL,1_sLT-012-153-913_symm,12.982527190849636,0.2508667189630902
G_avgTL,1_sTL-094-174-420_symm,20.221325876563263,2.6256751503454794
G_avgTL,1_sTL-095-182-003_symm,8.152330335303674,-0.5971660316116285
G_avgTL,1_sTL-095-182-079_symm,7.992733684203689,0.388856327719175
G_avgTL,1_sTL-095-182-193_symm,7.941269007304386,-1.6884432934755758
G_avgTL,1_sTL-095-182-421_symm,19.3727152253204,1.8658614713489001
G_avgTL,1_sTL-095-182-459_symm,8.051037014695876,-0.7955742263854315
G_avgTL,1_sTL-095-182-497_symm,12.982527190849636,-1.169386206339798
G_avgTL,1_sTL-095-182-535_symm,19.30919511933619,1.842145489728889
G_avgTL,1_sTL-095-182-573_symm,19.512817518195284,4.478047571184241
G_avgTL,1_sTL-095-182-725_symm,11.993110491986398,1.1248846783552757
G_avgTL,1_sTL-095-182-763_symm,11.993110491986398,0.8348160792400403
G_avgTL,1_sTL-095-182-801_symm,7.879396358396934,1.3239825723053986
G_avgTL,1_sTL-095-182-839_symm,7.9805963919235365,0.5691736956916706
