constant,element,tau,Std_tau,g,Std_g,R2
E_tTL,0,178385.04916611154,18374.971730034697,0.261574309617967,0.009686515730291358,0.9253678466461163
E_tTL,1,23059637.11639759,1471829.87319047,1.4321676323484605,0.03987741632763004,0.9253678466461163
E_tTT,0,150.58903895224924,65.97131117363861,0.3817528306144269,0.018098050278111875,0.9857904204814764
E_tTT,1,80903.66870210545,26747.060545527922,0.24068989506502736,0.038756635081315466,0.9857904204814764
E_tTT,2,1121935.338068415,196581.3652792789,0.5054327743840425,0.037729606656799086,0.9857904204814764
E_tTT,3,34207853.49920397,3286529.1524030883,1.4146375868697891,0.09868718920971649,0.9857904204814764
E_tTT,4,363720265.05768734,123837479.79599644,1.3591965192165745,0.12211839168002821,0.9857904204814764
G_LR,0,564.4221607494626,315.62991202228466,0.09201891117824568,0.010165938015853212,0.9262982398942649
G_LR,1,27640.216241416296,4095.6683500036006,0.15410203198638572,0.01031002555178102,0.9262982398942649
G_LR,2,1102055.9451271438,134595.14243617354,0.1866019247014783,0.011035610715023448,0.9262982398942649
G_LR,3,21340049.876372922,2015635.3276149677,0.5146600326491957,0.015491813425054035,0.9262982398942649
G_LT,0,732.3365116523989,291.65909470790774,0.11486990260792429,0.009438650053933056,0.9519534703196939
G_LT,1,41518.506395987824,10304.869942045187,0.12644572390963127,0.015716672232243715,0.9519534703196939
G_LT,2,420816.5174749516,89710.34768551243,0.14810950301307613,0.01427713694796412,0.9519534703196939
G_LT,3,9017526.877138816,2770624.631172667,0.3440442245837967,0.12442520299702846,0.9519534703196939
G_LT,4,44076602.735974275,17970654.14677795,0.45315261688121344,0.1048146977696714,0.9519534703196939
G_RL,0,597.8175768444052,118.26023821311323,0.20753048139088826,0.004064889282519691,0.9499808220846937
G_RL,1,283946.52348370437,44335.79209680855,0.1486927310299726,0.019186878173999264,0.9499808220846937
G_RL,2,2214090.3251355663,639459.2371002644,0.22132561893441993,0.03357842443299893,0.9499808220846937
G_RL,3,56186802.913997024,41131309.26269403,1.2111679285646506,0.7871860891731977,0.9499808220846937
G_RT,0,412.07292747356234,123.20893067062846,0.16074260089760872,0.007248681236715739,0.9903129533303331
G_RT,1,4327761.840349963,319006.88017185964,0.257122053858007,0.007144154525851513,0.9903129533303331
G_RT,2,298788501.03959435,28214154.737505212,0.3918439252023196,0.012919888086849352,0.9903129533303331
G_RT,3,47479.022553220435,7769.194192667675,0.11706943327956054,0.007839056412069497,0.9903129533303331
G_RT,4,7856978537.490723,512186876.83880717,0.66981387680265,0.017980994707773364,0.9903129533303331
G_RT,5,179216133157.69797,60428974384.26893,0.2572447085567122,0.028709029534409115,0.9903129533303331
G_TL,0,1428.4121141223584,1036.5380495837485,0.07626739726800635,0.021938267970512532,0.9351172743562575
G_TL,1,23484.918001016653,5123.67956126963,0.17587429702247648,0.020833529065445017,0.9351172743562575
G_TL,2,1039034.4931082436,352772.1560692639,0.18303832478333049,0.06279155527943105,0.9351172743562575
G_TL,3,74284767.95562202,18102614.560216513,0.7545013401222933,0.04246673497485234,0.9351172743562575
G_TL,4,5941004.677097038,3313419.424462185,0.22370397426366462,0.050001003469739604,0.9351172743562575
G_TR,0,218.14186413198732,63.38022395491999,0.16755723133502332,0.008292002586254513,0.9925113621528122
G_TR,1,1124823.1685685033,99252.13260233052,0.217106200496203,0.007558182491238735,0.9925113621528122
G_TR,2,41535.16950570414,9641.019214738877,0.08911219580066398,0.008831852446099518,0.9925113621528122
G_TR,3,40693004.808693536,3652041.299829354,0.40944362536402523,0.012128981566592898,0.9925113621528122
G_TR,4,1147524329.2266002,93340475.74986406,0.7767047148072059,0.0421119282739307,0.9925113621528122
G_TR,5,15740056719.17236,16402583223.55611,0.2824462674089181,0.11328121536615733,0.9925113621528122
G_avgRL,0,582.7731737071374,167.18878244710658,0.12084643400889195,0.009201160943590908,0.9371440643444827
G_avgRL,1,18373.579147796485,3072.7243544396288,0.11053140174643006,0.00905285522288254,0.9371440643444827
G_avgRL,2,562379.1307690658,70372.06010593042,0.16645240138467865,0.01400808122663854,0.9371440643444827
G_avgRL,3,5984667.69979272,2065327.3994503806,0.2737730549971722,0.08536499078553585,0.9371440643444827
G_avgRL,4,104079919.95389193,215148556.5485669,0.8789954682493293,1.1506674962341656,0.9371440643444827
G_avgRT,0,257.72917833683476,60.68473564297364,0.15903540578902042,0.005440314476835191,0.9908132185959105
G_avgRT,1,39341.13860544079,5274.473104729868,0.10650320435936567,0.005846850809323079,0.9908132185959105
G_avgRT,2,2023568.0872263084,113563.98739254236,0.24174998607888165,0.005166132314186531,0.9908132185959105
G_avgRT,3,3109993096.080504,168502669.89071283,0.6998446665174756,0.020220138893370026,0.9908132185959105
G_avgRT,4,110002408.69917776,7605856.344322223,0.3958073886714004,0.008968598740377923,0.9908132185959105
G_avgRT,5,35335818851.583626,9040076695.120024,0.2256863301326415,0.0174918047892894,0.9908132185959105
G_avgTL,0,1065.1593481148334,403.97619896691435,0.09582481923299113,0.010143821380282,0.939482541412306
G_avgTL,1,32247.050319010617,5003.573152374625,0.15275712214598536,0.010522838886736049,0.939482541412306
G_avgTL,2,676786.032725936,117560.46893920594,0.1557555056858151,0.014484369956456975,0.939482541412306
G_avgTL,3,7934409.474075548,1798902.81373522,0.31584765304749873,0.04812916286019548,0.939482541412306
G_avgTL,4,68565393.16497807,17380756.007302314,0.6117734433335094,0.03306616524392061,0.939482541412306
