constant,iteration,master_R2,master_delta_R2,time_shift_R2,time_shift_delta_R2,mc_ref,ln_a_ref,elements,Test
E_cTT,1,0.9583601056979612,1.1218758636675967e-10,0.44989405982139374,-1.0713873896406423e-07,12.5,-2.7346041957428124e-07,4,Passed
E_tLL,0,0.7547524767959447,1.0,0.22343003280238838,1.0,12.5,-0.4358486331653922,2,Failed
E_tLL,1,0.754752476788868,-9.376150193466428e-12,0.22343112445464386,4.885855800730539e-06,12.5,-8.008433390639669e-06,2,Passed
E_tRL,0,0.7045397305018268,1.0,0.21578712369884767,1.0,12.5,-1.3968645967484754,2,Failed
E_tRL,1,0.704539730493816,-1.1370280322683847e-11,0.21579019183978354,1.4218166774452059e-05,12.5,-1.0112644287296746e-05,2,Passed
E_tRR,0,0.9905323762585269,1.0,0.8234178225693076,1.0,12.5,-2.7652392967393946,5,Failed
E_tRR,1,0.9905323756375981,-6.26863662542521e-10,0.8234069481021004,-1.3206674090292615e-05,12.5,-5.869111380470138e-05,5,Passed
E_tRT,0,0.9480522523109282,1.0,0.3336243661408326,1.0,12.5,-0.9096504165841572,4,Failed
E_tRT,1,0.9480746665922677,2.3641894598975657e-05,0.3231073125323023,-0.03254972326718495,12.5,0.004620558957157038,4,Failed
E_tRT,2,0.9480746666758674,8.817837420452172e-11,0.32309801192786625,-2.8785706171794874e-05,12.5,3.7435974774464864e-06,4,Passed
E_tTL,0,0.925367846647841,1.0,0.06505960342581674,1.0,12.5,-2.5350093622166057,2,Failed
E_tTL,1,0.9253678466461163,-1.863833366381014e-12,0.06505898912200847,-9.442258734057163e-06,12.5,2.940126259370901e-06,2,Passed
E_tTT,0,0.9857904204611084,1.0,0.7365225144996443,1.0,12.5,-2.3842815042869296,5,Failed
E_tTT,1,0.9857904204814764,2.0661521092100046e-11,0.7365208821302494,-2.2163246617895027e-06,12.5,-1.201621820592913e-05,5,Passed
G_LR,0,0.9262982399051237,1.0,0.2083911213531633,1.0,12.5,2.9292311937029822,4,Failed
G_LR,1,0.9262982398942649,-1.1722865154632325e-11,0.2083913207143948,9.56667632988553e-07,12.5,-6.810475157957574e-08,4,Passed
G_LT,0,0.9519534703197078,1.0,0.5948651274024441,1.0,12.5,-0.6023862266422638,5,Failed
G_LT,1,0.9519534703196939,-1.4578220722441286e-14,0.594865332975232,3.4557869909040774e-07,12.5,-3.783732069346374e-07,5,Passed
G_RL,0,0.9499808220897213,1.0,0.41609358874831515,1.0,12.5,0.4999728798632229,4,Failed
