component,x,data,fit,confidence,prediction
E_tTT,388251094.4809826,3.476981191418763,3.4342839000933925,0.015735571974445778,0.1190289024975591
E_tTT,393313707.7656527,3.008874115917908,3.4407469778861266,0.015838765642999353,0.11904258860384515
E_tTT,397624523.23455805,3.3591466375719308,3.4461795937349926,0.015946347859545275,0.11905695029887206
E_tTT,405979353.571189,3.7074799015389845,3.4565265309409536,0.016210783896788133,0.11909265686413596
E_tTT,408157153.76421416,3.4855720445210503,3.4591846836503546,0.016292521811906876,0.11910381048229284
E_tTT,413479332.78251714,3.07653112871991,3.4656140416563783,0.016515641306452562,0.11913453660536003
E_tTT,418011168.486788,3.387910750279418,3.471014829332347,0.016732501011598115,0.11916479343545054
E_tTT,426794360.1348121,3.748259237210225,3.4812921766913263,0.01722537836241228,0.1192349993254444
E_tTT,429083818.53142315,3.500832504118546,3.4839305228974933,0.01736984612439911,0.11925595565335832
E_tTT,439443059.3925273,3.4138714850528116,3.495662757405805,0.01810685293806381,0.11936552905982169
E_tTT,448676574.9060279,3.754634142584025,3.5058418361212462,0.018877962618464264,0.11948493158986451
E_tTT,451083416.3447405,3.501118539823253,3.5084529333315313,0.019096321765507112,0.11951962562433939
E_tTT,461973786.8424167,3.431949593818171,3.5200537855850804,0.020171208801415156,0.11969606956337686
E_tTT,471680714.8196996,3.7948862254602327,3.53010508684655,0.021244039661674912,0.1198815274575582
E_tTT,474210957.65777653,3.497445448340079,3.5326812996674795,0.0215405499775119,0.1199344266578373
E_tTT,495864302.20793265,3.799075551814793,3.55401003872994,0.024338281450500248,0.1204683499861031
E_tTT,498524273.3704154,3.502077649611053,3.556543619732171,0.024711603346547,0.12054432688587025
