component,sample,constant,mc,rh,load_type,direction,label,outlier,mc_mean
E_RR,4_CR-162-123-795,872.4741729584498,0.1777343075772394,85.0,compression,TR,"$E_{c,RR}$",False,17.688435211345272
E_RR,4_CR-162-123-826,949.8458723921444,0.1775000000000001,85.0,compression,TR,"$E_{c,RR}$",False,17.688435211345272
E_RR,4_CR-162-123-857,1064.952472143149,,85.0,compression,TR,"$E_{c,RR}$",False,17.688435211345272
E_RR,4_CR-162-123-889,841.6792567564903,,85.0,compression,TR,"$E_{c,RR}$",False,17.688435211345272
E_RR,4_CR-162-123-920,845.8345639899078,0.1770731707317074,85.0,compression,TR,"$E_{c,RR}$",False,17.688435211345272
E_RR,4_CR-162-123-951,854.8927931685055,0.1771380334167782,85.0,compression,TR,"$E_{c,RR}$",False,17.688435211345272
E_RR,4_CR-162-123-983,846.3197816681497,0.1763333724065172,85.0,compression,TR,"$E_{c,RR}$",False,17.688435211345272
E_RR,5_CR-159-121-134,784.3969318357474,0.2127910369376203,95.0,compression,TR,"$E_{c,RR}$",False,21.190907347224755
E_RR,5_CR-159-121-165,785.2750962727575,0.2127900164049682,95.0,compression,TR,"$E_{c,RR}$",False,21.190907347224755
E_RR,5_CR-159-121-228,738.682760156074,0.2131279537896026,95.0,compression,TR,"$E_{c,RR}$",False,21.190907347224755
E_RR,5_CR-159-121-259,,0.2154088050314464,95.0,compression,TR,"$E_{c,RR}$",True,21.190907347224755
E_RR,5_CR-159-121-291,,0.2137204701501223,95.0,compression,TR,"$E_{c,RR}$",True,21.190907347224755
E_RR,5_CR-159-121-322,715.4012277241912,0.2180678123548537,95.0,compression,TR,"$E_{c,RR}$",False,21.190907347224755
E_RR,5_CR-159-121-385,742.5280174024653,0.2128834355828221,95.0,compression,TR,"$E_{c,RR}$",False,21.190907347224755
E_RR,5_CR-159-121-416,777.9474749002795,0.2126187717265352,95.0,compression,TR,"$E_{c,RR}$",False,21.190907347224755
E_RR,5_CR-159-121-447,788.5451471137346,0.2124840394660476,95.0,compression,TR,"$E_{c,RR}$",False,21.190907347224755
E_RR,5_CR-159-121-479,778.967705212254,0.2130840032622625,95.0,compression,TR,"$E_{c,RR}$",False,21.190907347224755
E_RR,5_CR-159-121-510,675.5681050315775,0.2181971896682409,95.0,compression,TR,"$E_{c,RR}$",False,21.190907347224755
E_RR,5_CR-159-121-541,833.728817734803,0.2147099930118798,95.0,compression,TR,"$E_{c,RR}$",False,21.190907347224755
E_RR,5_CR-159-121-573,,0.214125874125874,95.0,compression,TR,"$E_{c,RR}$",True,21.190907347224755
E_RR,5_CR-159-121-604,728.6305858980434,0.2148167539267014,95.0,compression,TR,"$E_{c,RR}$",False,21.190907347224755
