sample,component,times,KV_model,strain_corrected,strain_experiment
1_cLx-238-144-023,exx,2024-03-14 12:03:31.500,1.4576549145659181,1.564204538742533,1.564204538742533
1_cLx-238-144-023,exx,2024-03-14 15:03:35.000,1.4595277813990462,1.5701903010523715,1.5701903010523715
1_cLx-238-144-023,exx,2024-03-14 18:03:41.500,1.461390057931288,1.477618965446712,1.477618965446712
1_cLx-238-144-023,exx,2024-03-14 21:03:32.000,1.4632386298962576,1.4796250876871915,1.4796250876871915
1_cLx-238-144-023,exx,2024-03-15 00:03:35.000,1.465078523131773,1.4413299090542022,1.4413299090542022
1_cLx-238-144-023,exx,2024-03-15 03:03:32.000,1.4669067130266464,1.4598049582891315,1.4598049582891315
1_cLx-238-144-023,exx,2024-03-15 06:03:32.000,1.468724861967633,1.451129129403143,1.451129129403143
1_cLx-238-144-023,exx,2024-03-15 09:03:32.000,1.4705325925861215,1.4394712582871865,1.4394712582871865
1_cLx-238-144-023,exx,2024-03-15 12:03:32.000,1.4723300350338657,1.5314117472606061,1.5314117472606061
1_cLx-238-144-023,exx,2024-03-15 15:03:45.500,1.4741195453605442,1.5710015986995778,1.5710015986995778
1_cLx-238-144-023,exx,2024-03-15 18:03:35.500,1.4758951408983716,1.605219675007546,1.605219675007546
1_cLx-238-144-023,exx,2024-03-15 21:03:35.500,1.477662477690903,1.5053909939610601,1.5053909939610601
1_cLx-238-144-023,exx,2024-03-16 00:03:32.000,1.4794194602319966,1.466068694997809,1.466068694997809
1_cLx-238-144-023,exx,2024-03-16 03:03:32.000,1.481167348571297,1.519240762612369,1.519240762612369
1_cLx-238-144-023,exx,2024-03-16 06:04:07.000,1.4829113088434014,1.4769475378471153,1.4769475378471153
1_cLx-238-144-023,exx,2024-03-16 09:03:44.500,1.484636599738725,1.4652994760616194,1.4652994760616194
1_cLx-238-144-023,exx,2024-03-16 12:03:32.500,1.4863542838305892,1.5738908810975583,1.5738908810975583
1_cLx-238-144-023,exx,2024-03-16 15:03:36.000,1.4880652375419834,1.5616953122838177,1.5616953122838177
1_cLx-238-144-023,exx,2024-03-16 18:03:32.000,1.4897659204205262,1.5211261178580868,1.5211261178580868
1_cLx-238-144-023,exx,2024-03-16 21:03:33.000,1.4914584154640758,1.462522193296437,1.462522193296437
1_cLx-238-144-023,exx,2024-03-17 20:57:29.000,1.5046321392213051,1.516854740186218,1.516854740186218
1_cLx-238-144-023,exx,2024-03-17 23:57:07.000,1.506245403712883,1.4954192886859952,1.4954192886859952
1_cLx-238-144-023,exx,2024-03-18 02:57:10.000,1.5078544583274676,1.487980569114272,1.487980569114272
1_cLx-238-144-023,exx,2024-03-18 05:57:35.500,1.5094589728770926,1.475569855556305,1.475569855556305
1_cLx-238-144-023,exx,2024-03-18 08:57:07.000,1.5110477359055996,1.5166783167384421,1.5166783167384421
1_cLx-238-144-023,exx,2024-03-18 11:57:07.000,1.512633034889724,1.5309963624341034,1.5309963624341034
1_cLx-238-144-023,exx,2024-03-18 14:57:27.500,1.514213733797908,1.566925365800738,1.566925365800738
1_cLx-238-144-023,exx,2024-03-18 17:57:07.500,1.5157810313999542,1.5424445540198675,1.5424445540198675
1_cLx-238-144-023,exx,2024-03-18 20:57:07.500,1.5173438326972628,1.532207894524978,1.532207894524978
1_cLx-238-144-023,exx,2024-03-18 23:57:07.500,1.5188993093900427,1.5175823655675662,1.5175823655675662
1_cLx-238-144-023,exx,2024-03-19 02:57:07.500,1.5204475466316612,1.52149142597086,1.52149142597086
1_cLx-238-144-023,exx,2024-03-19 05:57:08.000,1.5219886995255458,1.4890345527644493,1.4890345527644493
1_cLx-238-144-023,exx,2024-03-19 08:57:07.500,1.523522637233413,1.4924371779013312,1.4924371779013312
1_cLx-238-144-023,exx,2024-03-19 11:57:11.000,1.5250501485557058,1.6129675929935865,1.6129675929935865
1_cLx-238-144-023,exx,2024-03-19 17:57:28.000,1.528085902193362,1.534172260131766,1.534172260131766
1_cLx-238-144-023,exx,2024-03-19 20:57:16.500,1.5295908098904267,1.538064676461423,1.538064676461423
1_cLx-238-144-023,exx,2024-03-19 23:57:08.000,1.531089470699154,1.5601171473721367,1.5601171473721367
1_cLx-238-144-023,exx,2024-03-20 02:57:11.000,1.5325831273668502,1.5360721791853102,1.5360721791853102
1_cLx-238-144-023,exx,2024-03-20 08:56:41.500,1.5355460692972416,1.5203883459949896,1.5203883459949896
1_cLx-238-144-023,exx,2024-03-20 11:56:52.000,1.5370213982419532,1.6560692357578122,1.6560692357578122
1_cLx-238-144-023,exx,2024-03-20 14:56:39.500,1.5384872874049416,1.5500655402057324,1.5500655402057324
1_cLx-238-144-023,exx,2024-03-20 17:56:36.500,1.5399482353762326,1.5462619122759371,1.5462619122759371
1_cLx-238-144-023,exx,2024-03-20 20:56:45.000,1.541404564120416,1.568231488833591,1.568231488833591
1_cLx-238-144-023,exx,2024-03-20 23:56:44.500,1.5428535778523709,1.5427621008096621,1.5427621008096621
1_cLx-238-144-023,exx,2024-03-21 02:56:50.000,1.5442973592988614,1.4959631033647247,1.4959631033647247
1_cLx-238-144-023,exx,2024-03-21 05:56:40.000,1.5457331101249314,1.5338739634577083,1.5338739634577083
1_cLx-238-144-023,exx,2024-03-21 08:56:54.500,1.547166211084064,1.4986137762844425,1.4986137762844425
1_cLx-238-144-023,exx,2024-03-21 11:56:47.500,1.5485906285553956,1.591389927134796,1.591389927134796
1_cLx-238-144-023,exx,2024-03-21 14:56:47.000,1.5500101337173293,1.5223238913858461,1.5223238913858461
1_cLx-238-144-023,exx,2024-03-21 17:56:40.000,1.5514230805221425,1.5088368222495396,1.5088368222495396
1_cLx-238-144-023,exx,2024-03-21 20:56:40.000,1.5528312977538516,1.5784344719989225,1.5784344719989225
1_cLx-238-144-023,exx,2024-03-21 23:56:37.500,1.554233604134268,1.5379937760461264,1.5379937760461264
1_cLx-238-144-023,exx,2024-03-22 02:56:37.500,1.5556307091439656,1.5132398319738296,1.5132398319738296
1_cLx-238-144-023,exx,2024-03-22 05:56:37.000,1.5570222824189572,1.4865208588327727,1.4865208588327727
1_cLx-238-144-023,exx,2024-03-22 08:56:37.000,1.5584085112299342,1.5562491820104427,1.5562491820104427
1_cLx-238-144-023,exx,2024-03-22 11:56:58.000,1.5597920684689297,1.5836594930618255,1.5836594930618255
1_cLx-238-144-023,exx,2024-03-22 14:56:47.500,1.561166306118976,1.5661663237840806,1.5661663237840806
1_cLx-238-144-023,exx,2024-03-22 17:36:16.500,1.5623807145346982,1.5703043602756424,1.5703043602756424
1_cLx-238-144-023,exx,2024-03-22 20:36:09.000,1.5637455113380279,1.5112214606949286,1.5112214606949286
1_cLx-238-144-023,exx,2024-03-22 23:36:18.500,1.5651073176048313,1.5011245048343802,1.5011245048343802
1_cLx-238-144-023,exx,2024-03-23 02:35:58.500,1.566460337586462,1.4821840188398812,1.4821840188398812
1_cLx-238-144-023,exx,2024-03-23 05:36:17.000,1.56781315275973,1.454560170375214,1.454560170375214
1_cLx-238-144-023,exx,2024-03-23 08:36:02.000,1.5691568083552676,1.4851191152414949,1.4851191152414949
1_cLx-238-144-023,exx,2024-03-23 11:36:01.500,1.5704973489957093,1.504851590928048,1.504851590928048
1_cLx-238-144-023,exx,2024-03-23 14:36:50.500,1.5718391264814584,1.4842880840262982,1.4842880840262982
1_cLx-238-144-023,exx,2024-03-23 17:36:08.500,1.5731648420153952,1.4877563746992661,1.4877563746992661
1_cLx-238-144-023,exx,2024-03-23 20:36:01.500,1.5744901092941392,1.4468425529290034,1.4468425529290034
1_cLx-238-144-023,exx,2024-03-23 23:36:02.000,1.5758115719284536,1.4628294885106172,1.4628294885106172
1_cLx-238-144-023,exx,2024-03-24 02:36:13.500,1.5771296939523574,1.470290099104225,1.470290099104225
1_cLx-238-144-023,exx,2024-03-24 05:36:11.000,1.5784414765608803,1.438161069060379,1.438161069060379
1_cLx-238-144-023,exx,2024-03-24 08:36:10.000,1.5797488573999356,1.565484583711775,1.565484583711775
1_cLx-238-144-023,exx,2024-03-24 11:36:04.000,1.581051097578913,1.605803037414051,1.605803037414051
1_cLx-238-144-023,exx,2024-03-24 14:35:59.000,1.5823489686353933,1.5334807786530829,1.5334807786530829
