rh,type,tau_0,tau_1,tau_2,tau_3,g_0,g_1,g_2,g_3,Std_g_0,Std_g_1,Std_g_2,Std_g_3,R2
65.0,tT_exx,7200.0,72000.0,720000.0,7200000.0,0.035148882666666666,0.29509385179685,0.5957998285516667,1.033204886,0.060877918557136146,0.5111141933236858,0.5172247230050396,1.279787547667514,0.7656558156333465
65.0,tT_eyy,7200.0,72000.0,720000.0,7200000.0,0.6050635606666667,0.2906185176666667,0.348278178,0.7072999393333333,0.12033426766954598,0.3724536074108066,0.49394955399061735,1.084118842067574,0.8795633498128262
90.0,cL_exx,7200.0,72000.0,720000.0,7200000.0,0.43705338061777,2.178147256,3.9007667350000004,1e-06,0.6180746642662018,2.04129037141733,2.226411253415301,0.0,0.9760078095121631
90.0,cL_eyy,7200.0,72000.0,720000.0,7200000.0,0.0828534924,0.153244066,0.162119523,1e-06,,,,,0.8887141612897002
90.0,cR_exx,7200.0,72000.0,720000.0,7200000.0,1.84049901,2.53036392,1.0155501,1e-06,,,,,0.8103585305122755
90.0,cR_eyy,7200.0,72000.0,720000.0,7200000.0,0.4483572136666667,0.3996780106666667,1.6399588266666667,0.008023036666666667,0.09351654893485231,0.19870038816894858,0.3111071473455669,0.00947535076949837,0.9794765500217545
90.0,cT_exx,7200.0,72000.0,720000.0,7200000.0,0.14934864949999999,1.461501295,1.5095327699999999,1.0307895799999998e-06,0.025127160384723544,0.09751598603579029,0.13874712081726884,4.354304161577146e-08,0.9442309065243375
90.0,cT_eyy,7200.0,72000.0,720000.0,7200000.0,0.7331542990000001,0.5161000473333334,1.2594332936666666,0.19207286666666665,0.021838753266258615,0.4530434796516297,0.2587325726283967,0.33267823177126166,0.9669152606988014
90.0,sLR_exy,7200.0,72000.0,720000.0,7200000.0,0.22076294233333335,0.19400239840802666,0.21438742410599998,0.39758825866666664,0.03565770640960696,0.17307775893809713,0.1949360246904427,0.40056138764025057,0.9216563114923523
90.0,sLT_exy,7200.0,72000.0,720000.0,7200000.0,0.29752070466666664,0.2075014953333333,0.455503976,0.12101888333333333,0.04830755925619329,0.17223697838342916,0.020581886482724257,0.16689421611682423,0.9646013568355422
90.0,sRL_exy,7200.0,72000.0,720000.0,7200000.0,0.25145484375,0.11462578500000001,0.29511770475,0.6268759772500001,0.025362009680642887,0.1061047124322866,0.13883083017222805,0.626779006556087,0.9460717312927691
90.0,sRT_exy,7200.0,72000.0,720000.0,7200000.0,0.9076818659999999,0.30081404,0.25847110725,0.031087460446250003,0.4534906589446761,0.06748811987388165,0.12641336136408385,0.05865955664464171,0.9826300385460673
90.0,sTL_exy,7200.0,72000.0,720000.0,7200000.0,0.21618087922499998,0.2587732135,0.43647145425,0.1055703299675,0.12448774789392512,0.13412440473963994,0.15135101817434804,0.19196505197039762,0.9086852760498758
90.0,sTR_exy,7200.0,72000.0,720000.0,7200000.0,0.9020238273333333,0.3341721553333333,0.3881772076666667,1e-06,0.39939847183425914,0.04795663945382714,0.2017877359977572,0.0,0.9824841784233248
90.0,tL_exx,7200.0,72000.0,720000.0,7200000.0,0.239128716,1.16093811e-06,0.101731623,1.17112788,,,,,0.9109509799337948
90.0,tL_eyy,7200.0,72000.0,720000.0,7200000.0,0.146141612,0.0350927715,1.12839134e-06,0.023748936,,,,,0.7457454669010721
90.0,tR_exx,7200.0,72000.0,720000.0,7200000.0,0.260250547,0.2232236185,0.625692594,2.1477993399999997e-05,0.36804843896885425,0.1717091502025464,0.6583837524776618,2.8960255996466725e-05,0.430681175356244
90.0,tR_eyy,7200.0,72000.0,720000.0,7200000.0,0.8118485213333333,0.991922335,1.2985395413333334,8.056118133333333e-05,0.13475505940640414,0.329504352922846,0.5321524845900936,0.00013780400837953388,0.9945256172591762
90.0,tT_exx,7200.0,72000.0,720000.0,7200000.0,0.25466353,0.78675989,1.40060301,1.83488294,0.02711951081535579,0.1431199540049402,0.2143316597044726,2.57078695660313,0.9915427013470173
90.0,tT_eyy,7200.0,72000.0,720000.0,7200000.0,0.89252283625,1.2677633592500002,1.38164546575,1e-06,0.1427926380716586,0.39948180079991935,0.46121132015362337,0.0,0.9873566268309742
