sheet,sample,valid,thickness,width,max_force,max_stress,loading_type,direction,rh,label,mc,mc_mean,mc_std,mc_label,offset_strain,offset_stress
data_2_CR,2_CR-168-154-701,True,14.19,13.85,979.46295,4.983745353798246,compression,R,65,"$f_{c,R}$",0.091744466589741,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,0.01,4.800499644184444
data_2_CR,2_CR-168-154-732,True,14.23,13.86,1010.65564,5.124306208353994,compression,R,65,"$f_{c,R}$",0.091279924401512,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,0.01,4.77824094680293
data_2_CR,2_CR-168-154-763,True,14.2,13.78,973.1366,4.9732036631983485,compression,R,65,"$f_{c,R}$",0.0920449746621621,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,0.01,4.648803847066794
data_2_CR,2_CR-168-154-795,True,14.07,13.8,1006.82733,5.185394610796946,compression,R,65,"$f_{c,R}$",0.0916841223292837,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,0.01,4.945101484066693
data_2_CR,2_CR-168-154-826,True,14.0,14.0,1147.4822,5.854501020408163,compression,R,65,"$f_{c,R}$",,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CR,2_CR-168-154-857,True,14.21,13.86,956.03454,4.854184450313936,compression,R,65,"$f_{c,R}$",0.090311418685121,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CR,2_CR-168-154-889,True,14.12,13.92,942.0632,4.792985412392954,compression,R,65,"$f_{c,R}$",0.0923117430226435,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,0.01,4.024144897368259
data_2_CR,2_CR-168-154-920,True,14.14,13.72,959.0779,4.943680129154106,compression,R,65,"$f_{c,R}$",0.0924768518518518,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,0.01,3.938142276991585
data_2_CR,2_CR-168-154-951,True,14.13,13.84,926.4804,4.737595572082521,compression,R,65,"$f_{c,R}$",0.0919513484928609,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,0.01,4.232416405908273
data_2_CR,2_CR-168-154-983,True,14.18,13.84,929.8691,4.738157524641888,compression,R,65,"$f_{c,R}$",0.0900653455878446,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,0.01,4.549023833810049
data_2_CT,2_CT-226-174-055,True,14.13,13.87,1117.9997,5.704571975848938,compression,T,65,"$f_{c,T}$",0.093425084672867,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CT,2_CT-226-174-087,True,14.14,13.91,1207.8439,6.140931752618623,compression,T,65,"$f_{c,T}$",0.0959279605822053,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CT,2_CT-226-174-118,True,14.2,13.86,1104.1876,5.610367254029226,compression,T,65,"$f_{c,T}$",0.0974645146520146,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CT,2_CT-226-174-149,True,14.16,13.93,1116.4045,5.6598798066198635,compression,T,65,"$f_{c,T}$",0.0980751811594202,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CT,2_CT-226-174-181,True,13.97,13.87,1093.8834,5.645444791315616,compression,T,65,"$f_{c,T}$",0.0977109996053447,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CT,2_CT-226-174-212,True,14.05,14.01,1107.3707,5.625725904983984,compression,T,65,"$f_{c,T}$",0.105780640786574,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CT,2_CT-226-174-243,True,14.16,13.95,1120.777,5.67390093756961,compression,T,65,"$f_{c,T}$",0.1044256814189381,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CT,2_CT-226-174-275,True,14.11,13.87,1146.5928,5.8587603733565246,compression,T,65,"$f_{c,T}$",0.1040608562864091,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CT,2_CT-226-174-306,True,14.14,13.91,1160.6623,5.901050601106121,compression,T,65,"$f_{c,T}$",0.1026435426839535,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CT,2_CT-226-174-337,True,14.08,13.93,1147.3154,5.849638819095477,compression,T,65,"$f_{c,T}$",0.1023398391360594,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CT,2_CT-226-174-369,True,14.16,14.03,1187.4592,5.9771997857698,compression,T,65,"$f_{c,T}$",0.1038058777164732,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CT,2_CT-226-174-400,True,14.13,13.99,1186.0696,5.999986847343695,compression,T,65,"$f_{c,T}$",0.1044505710909807,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CT,2_CT-226-174-431,True,14.1,13.98,1213.2551,6.154968597489829,compression,T,65,"$f_{c,T}$",0.1051266213712167,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CT,2_CT-226-174-463,True,14.18,13.91,1140.0867,5.780088905202597,compression,T,65,"$f_{c,T}$",0.1005324813631521,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CT,2_CT-226-174-494,True,14.01,13.92,1208.2479,6.195533055206873,compression,T,65,"$f_{c,T}$",0.1003017771319996,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CT,2_CT-226-174-525,True,14.2,14.02,1233.2825,6.1947846135299685,compression,T,65,"$f_{c,T}$",0.099849288305889,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CT,2_CT-226-174-557,True,14.02,13.92,1232.8417,6.317133671930083,compression,T,65,"$f_{c,T}$",0.1027833556448014,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CT,2_CT-226-174-588,True,14.06,14.03,1335.5939,6.77066669775902,compression,T,65,"$f_{c,T}$",0.1023143424797293,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CT,2_CT-226-174-619,True,14.06,13.93,1223.1102,6.244952664153933,compression,T,65,"$f_{c,T}$",0.1017654543526669,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CT,2_CT-226-174-651,True,14.12,13.88,1231.9288,6.28581283522871,compression,T,65,"$f_{c,T}$",0.1041248544658202,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CT,2_CT-226-174-682,True,14.05,13.89,1227.8258,6.291557714528745,compression,T,65,"$f_{c,T}$",0.1044376049244543,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CT,2_CT-226-174-713,True,14.12,13.89,1176.7071,5.999726197541591,compression,T,65,"$f_{c,T}$",0.1039186092011851,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CT,2_CT-226-174-745,True,14.1,13.94,1237.3046,6.2949856019211,compression,T,65,"$f_{c,T}$",0.1036110956075234,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
