sample,exp_mass,dry_mass,moisture_content
2_SRT-267-122-552,27.8233,25.103,0.1083655339999202
2_SRT-267-122-563,27.8837,25.157,0.1083873275827801
2_SRT-267-122-575,27.8563,25.139,0.1080910139623693
2_SRT-267-122-586,5.0995,4.495,0.1344827586206896
2_SRT-267-122-620,5.7125,5.033,0.1350089409894695
2_SRT-267-122-631,5.5521,4.891,0.1351666325904723
2_SRT-267-122-642,4.9812,4.378,0.1377798081315669
2_SRT-267-122-654,5.2791,4.649,0.1355345235534522
2_SRT-267-122-665,4.7996,4.218,0.1378852536747273
2_SRT-267-122-676,4.8711,4.29,0.1354545454545455
2_SRT-267-122-688,4.8965,4.308,0.136606313834726
2_SRT-267-122-699,4.7889,4.212,0.136965811965812
2_SRT-267-122-710,4.7193,4.129,0.1429643981593606
2_SRT-267-122-721,4.9623,4.379,0.1332039278374059
2_SRT-267-122-733,4.7029,4.143,0.1351436157373883
2_SRT-267-122-744,4.7058,4.145,0.1352955367913149
2_SRT-267-122-755,4.691,4.129,0.1361104383627998
2_SRT-267-122-767,5.0501,4.455,0.1335802469135801
2_SRT-267-122-778,4.9541,4.377,0.1318482979209505
2_SRT-267-122-789,5.0474,4.452,0.1337376460017968
2_SRT-267-122-801,5.0214,4.43,0.1334988713318284
2_SRT-267-122-812,5.7177,5.047,0.132890826233406
2_SRT-267-122-823,5.3583,4.729,0.1330725311905264
2_SRT-267-122-834,5.3273,4.691,0.1356427201023236
2_SRT-267-122-846,5.0359,4.432,0.1362590252707579
2_SRT-267-122-857,5.1307,4.517,0.1358645118441442
2_SRT-267-122-868,4.8787,4.297,0.1353735164067955
2_SRT-267-122-880,4.7853,4.211,0.1363809071479458
2_SRT-267-122-891,4.9513,4.36,0.1356192660550457
2_SRT-267-122-902,4.7766,4.196,0.13836987607245
2_SRT-267-122-914,4.8648,4.278,0.1371669004207574
2_SRT-267-122-925,5.0611,4.456,0.1357944344703768
2_SRT-267-122-936,4.7268,4.152,0.1384393063583814
2_SRT-267-122-947,4.7219,4.148,0.1383558341369335
2_SRT-267-122-959,4.5457,3.992,0.1387024048096192
2_SRT-267-122-970,4.6112,4.047,0.1394119100568323
2_STL-142-186-025,29.1131,,
2_STL-142-186-102,29.0727,26.091,0.1142807864780958
2_STL-142-186-155,29.3486,26.337,0.1143486350001899
2_STL-142-186-208,29.4874,26.466,0.1141615657825134
2_STL-142-186-262,29.9207,26.848,0.1144480035756853
2_STL-142-186-315,29.7813,26.722,0.1144861911533567
2_STL-142-186-368,8.0608,7.074,0.139496748657054
2_STL-142-186-421,8.0223,7.044,0.1388841567291311
2_STL-142-186-475,8.0373,7.051,0.1398808679619912
2_STL-142-186-528,8.1635,7.158,0.1404721989382509
2_STL-142-186-581,8.0483,7.059,0.1401473296500919
2_STL-142-186-635,8.0522,7.068,0.1392473118279569
2_STL-142-186-688,8.1949,7.186,0.1403979961035347
2_STL-142-186-741,8.085,7.084,0.1413043478260871
2_STL-142-186-795,8.1519,7.144,0.1410834266517356
2_STL-142-186-848,8.1386,7.139,0.1400196105897184
2_STL-142-186-901,8.063,7.063,0.1415828967860683
2_STL-142-186-954,7.5489,6.609,0.1422151611438946
2_STL-142-198-049,8.024,7.065,0.135739561217268
2_STL-142-198-103,7.604,6.678,0.1386642707397424
2_STL-142-198-156,7.7467,6.801,0.1390530804293485
2_STL-142-198-209,7.7186,6.784,0.1377653301886793
2_STL-142-198-263,7.8744,6.927,0.1367691641403205
2_STL-142-198-316,7.5272,6.623,0.1365242337309375
2_STL-142-198-369,7.5511,6.634,0.1382423876997286
2_STL-142-198-422,7.2971,6.416,0.13732855361596
2_STL-142-198-476,7.5651,6.659,0.1360714822045352
2_STL-142-198-529,7.6811,6.757,0.1367618765724434
2_STL-142-198-582,7.7904,6.85,0.1372846715328467
2_STL-142-198-636,7.6275,6.709,0.1369056491280371
2_STL-142-198-689,7.8115,6.879,0.1355574938217764
2_STL-142-198-742,7.8323,6.892,0.1364335461404526
2_STL-142-198-796,7.8861,6.941,0.1361619363204149
2_STL-142-198-849,7.7983,6.863,0.1362815095439312
2_STL-142-198-902,7.7583,6.824,0.1369138335287222
2_STL-142-198-955,7.5547,6.618,0.1415382290722272
2_STR-267-122-032,28.8489,,
2_STR-267-122-043,28.7808,25.896,0.1113994439295643
2_STR-267-122-054,29.3229,26.373,0.1118530315094983
2_STR-267-122-066,29.4859,26.5,0.1126754716981132
2_STR-267-122-100,29.6405,25.655,0.1553498343402844
2_STR-267-122-111,28.9653,26.061,0.1114423851732473
2_STR-267-122-122,6.7372,5.924,0.1372721134368668
2_STR-267-122-134,6.8044,5.981,0.1376692860725631
2_STR-267-122-145,6.7357,5.925,0.1368270042194092
2_STR-267-122-156,6.4878,5.687,0.1408123791102514
2_STR-267-122-167,6.7564,5.942,0.1370582295523393
2_STR-267-122-179,6.8548,6.018,0.1390495181123297
2_STR-267-122-190,6.4886,5.693,0.139750570876515
2_STR-267-122-201,6.7497,5.923,0.1395745399290899
2_STR-267-122-213,6.8501,6.012,0.1394045242847639
2_STR-267-122-224,6.884,6.046,0.1386040357260999
2_STR-267-122-235,6.8853,6.043,0.139384411716035
2_STR-267-122-247,6.9065,6.058,0.1400627269725983
2_STR-267-122-258,6.7032,5.882,0.1396123767426046
2_STR-267-122-269,6.7453,5.917,0.1399864796349502
2_STR-267-122-280,6.8935,6.045,0.1403639371381307
2_STR-267-122-292,6.7,5.893,0.1369421347361276
2_STR-267-122-303,7.459,6.56,0.1370426829268292
2_STR-267-122-314,6.856,6.022,0.1384921952839587
2_STR-267-122-326,6.8387,6.007,0.1384551356750459
2_STR-267-122-337,6.8509,6.024,0.1372675962815405
2_STR-267-122-348,6.7523,5.942,0.1363682261864691
2_STR-267-122-360,6.676,5.873,0.1367273965605312
2_STR-267-122-371,6.7412,5.931,0.1366042825830382
2_STR-267-122-382,6.7529,5.952,0.134559811827957
2_STR-267-122-393,6.6213,5.826,0.1365087538619979
2_STR-267-122-405,6.6645,5.865,0.1363171355498721
2_STR-267-122-416,6.7503,5.941,0.1362228581046962
2_STR-267-122-427,6.6962,5.894,0.136104513064133
2_STR-267-122-439,6.6465,5.85,0.1361538461538461
2_STR-267-122-450,6.7668,5.962,0.1349882589734988
2_TL-036-090-031,15.7348,14.042,0.1205526278307933
2_TL-038-114-504,16.1967,14.455,0.1204911795226565
