sheet,sample,camera,component,K,K_std,n,n_std,Var_KK,Var_Kn,Var_nn,max_stress,max_strain,strength,count
data_3_sTR,3_sTR-240-108-689,cam1,exy_mean,5.576365699542218,0.7698383874037749,3.4222269903776423,0.27200027627305023,0.5926511427204445,-0.20885747769976648,0.07398415029261567,1.0729031277125225,0.0034898375219864,1.1540180623107745,9
data_3_sTR,3_sTR-240-108-689,cam2,exy_mean,5.713876987214121,0.8419500632058475,3.386471707795319,0.2831214906206663,0.7088799089323307,-0.2377669961308233,0.08015777845126805,1.0729031277125225,0.0034236072127640997,1.1540180623107745,9
data_3_sTR,3_sTR-240-108-700,cam1,exy_mean,5.745849163544675,0.684074191275948,3.3231429749351498,0.22343831598728978,0.4679574991698423,-0.15245118598001434,0.04992468105123595,1.0723395529172226,0.0037299498233308,1.1796892117562172,9
data_3_sTR,3_sTR-240-108-700,cam2,exy_mean,6.065042278897143,0.8692111967046557,3.2600565266437376,0.25574924259687837,0.7555281044767397,-0.22173842848198932,0.06540767508887693,1.0723393371337868,0.0034329255846995,1.1796892117562172,9
data_3_sTR,3_sTR-240-108-711,cam1,exy_mean,5.162737127273944,0.6653076916179969,3.4624562200539684,0.268728845055904,0.44263432452606755,-0.17829621153854489,0.07221519216508006,1.0712715088146334,0.0041790688389555,1.1779905128039458,9
data_3_sTR,3_sTR-240-108-711,cam2,exy_mean,6.067365716393694,1.0892495032728258,3.1510765243715744,0.308711491112303,1.1864644803800974,-0.3353658199738114,0.09530278474478154,1.071249426694681,0.004046348267493,1.1779905128039458,9
data_3_sTR,3_sTR-240-108-722,cam1,exy_mean,5.891190892956397,0.943072636972124,3.2032052846523937,0.28470107668246303,0.8893859986055556,-0.26776575978685685,0.08105470306415369,1.0716232793053662,0.0041269855549044,1.1210878702036726,9
data_3_sTR,3_sTR-240-108-722,cam2,exy_mean,6.301350381636049,1.1868006510554214,3.1240863833862966,0.31443502181716315,1.4084957853455724,-0.3721918897462328,0.09886938294515987,1.0716278192771047,0.0038358246589169,1.1210878702036726,9
data_3_sTR,3_sTR-240-108-733,cam1,exy_mean,6.691397208345704,0.5403950344231305,3.0664000821727497,0.1411508453831522,0.2920267932291764,-0.07604013625422978,0.019923561152378536,1.289875847257842,0.0063488098204101,1.2976761030932618,11
data_3_sTR,3_sTR-240-108-733,cam2,exy_mean,6.653736593580505,0.8477231911575184,3.0945747734619626,0.2153178305313619,0.7186346088262865,-0.18201852643303995,0.04636176814473227,1.1833005940627437,0.0046175930761421,1.2976761030932618,10
data_3_sTR,3_sTR-240-108-744,cam1,exy_mean,5.941658619476315,0.580596334650745,3.1842249788168466,0.1812632023291899,0.33709210380987986,-0.10492379864821023,0.03285634851863284,1.1808025249863927,0.0057452737321534,1.2736203721651482,10
data_3_sTR,3_sTR-240-108-744,cam2,exy_mean,4.685772840863583,0.8734780927396151,3.644263913643993,0.41025785695859107,0.7629639784960356,-0.3574625245889013,0.16831150919625576,0.9670227571084676,0.0030948180167526,1.2736203721651482,8
data_3_sTR,3_sTR-240-108-832,cam1,exy_mean,5.358165001881813,0.3355161243065295,3.361747059376164,0.13875096417778982,0.11257106966967455,-0.046390243693432455,0.019251830060266314,1.2949830658037995,0.00838276241738,1.400992761495814,11
data_3_sTR,3_sTR-240-108-832,cam2,exy_mean,6.265384437048879,0.5190338768781484,3.0743724252656874,0.1512515858787334,0.26939616534716093,-0.07824274903282238,0.022877042230831868,1.2949828194775297,0.0077443997127857,1.400992761495814,11
