,,cam1,cam1,cam2,cam2
data_2_sLT,2_sLT-110-185-431,L,T,L,T
data_2_sLT,2_sLT-110-185-564,L,T,L,T
data_2_sLT,2_sLT-110-185-697,L,T,L,T
data_2_sLT,2_sLT-110-185-831,L,T,L,T
data_2_sLT,2_sLT-111-161-026,L,T,L,T
data_2_sLT,2_sLT-111-161-159,L,T,L,T
data_2_sLT,2_sLT-111-161-293,L,T,L,T
data_2_sLT,2_sLT-111-161-426,L,T,L,T
data_2_sLT,2_sLT-111-161-633,L,T,L,T
data_2_sLT,2_sLT-111-161-766,L,T,L,T
data_2_sLT,2_sLT-111-173-031,L,T,L,T
data_2_sLT,2_sLT-111-173-164_K,L,T,L,T
data_2_sLT,2_sLT-111-173-297_K,L,T,L,T
data_2_sLT,2_sLT-111-173-431_K,L,T,L,T
data_2_sLT,2_sLT-111-173-564,L,T,L,T
data_2_sLT,2_sLT-111-173-697,L,T,L,T
data_2_sLT,2_sLT-111-173-831,L,T,L,T
data_2_sLT,2_sLT-112-149-026,L,T,L,T
data_2_sLT,2_sLT-112-149-160,L,T,L,T
data_2_sLT,2_sLT-112-149-293,L,T,L,T
data_2_sLT,2_sLT-112-149-426,L,T,L,T
data_2_sLT,2_sLT-112-149-633,L,T,L,T
data_2_sLT,2_sLT-112-149-766,L,T,L,T
data_2_sRL,2_sRL-108-101-024,R,L,R,L
data_2_sRL,2_sRL-108-101-077,R,L,R,L
data_2_sRL,2_sRL-108-101-130,R,L,R,L
data_2_sRL,2_sRL-108-101-184,R,L,R,L
data_2_sRL,2_sRL-108-101-237,R,L,R,L
data_2_sRL,2_sRL-108-101-290,R,L,R,L
data_2_sRL,2_sRL-108-101-343,R,L,R,L
data_2_sRL,2_sRL-108-101-397,R,L,R,L
data_2_sRL,2_sRL-108-101-450,R,L,R,L
data_2_sRL,2_sRL-108-101-503,R,L,R,L
data_2_sRL,2_sRL-108-101-557,R,L,R,L
data_2_sRL,2_sRL-108-101-633,R,L,R,L
data_2_sRL,2_sRL-108-101-686_K,R,L,R,L
data_2_sRL,2_sRL-108-101-739_K,R,L,R,L
data_2_sRL,2_sRL-108-101-793_K,R,L,R,L
data_2_sRL,2_sRL-108-101-846,R,L,R,L
data_2_sRL,2_sRL-108-101-899,R,L,R,L
data_2_sRL,2_sRL-108-101-953,R,L,R,L
data_2_sRL,2_sRL-115-102-048,R,L,R,L
data_2_sRL,2_sRL-115-102-102,R,L,R,L
data_2_sRL,2_sRL-115-102-155,R,L,R,L
data_2_sRL,2_sRL-115-102-208,R,L,R,L
data_2_sRL,2_sRL-115-102-262,R,L,R,L
data_2_sRL,2_sRL-115-102-315,R,L,R,L
data_2_sRL,2_sRL-115-102-368,R,L,R,L
data_2_sRL,2_sRL-115-102-422,R,L,R,L
data_2_sRL,2_sRL-115-102-475,R,L,R,L
data_2_sRL,2_sRL-115-102-528,R,L,R,L
data_2_sRL,2_sRL-115-102-581,R,L,R,L
data_2_sRL,2_sRL-115-102-635,R,L,R,L
data_2_sRL,2_sRL-115-102-688,R,L,R,L
data_2_sRL,2_sRL-115-102-741,R,L,R,L
data_2_sRL,2_sRL-115-102-795,R,L,R,L
data_2_sRL,2_sRL-115-102-848,R,L,R,L
data_2_sRL,2_sRL-115-102-901,R,L,R,L
data_2_sRL,2_sRL-115-102-955,R,L,R,L
data_2_sRT,2_sRT-267-122-518,T,R,T,R
data_2_sRT,2_sRT-267-122-529,T,R,T,R
data_2_sRT,2_sRT-267-122-541,T,R,T,R
data_2_sRT,2_sRT-267-122-552,T,R,T,R
data_2_sRT,2_sRT-267-122-564,T,R,T,R
data_2_sRT,2_sRT-267-122-575,T,R,T,R
data_2_sRT,2_sRT-267-122-586,T,R,T,R
data_2_sRT,2_sRT-267-122-620,T,R,T,R
data_2_sRT,2_sRT-267-122-631,T,R,T,R
data_2_sRT,2_sRT-267-122-642,T,R,T,R
data_2_sRT,2_sRT-267-122-654,T,R,T,R
data_2_sRT,2_sRT-267-122-665,T,R,T,R
data_2_sRT,2_sRT-267-122-676,T,R,T,R
data_2_sRT,2_sRT-267-122-688,T,R,T,R
data_2_sRT,2_sRT-267-122-699,T,R,T,R
data_2_sRT,2_sRT-267-122-710,T,R,T,R
data_2_sRT,2_sRT-267-122-721,T,R,T,R
data_2_sRT,2_sRT-267-122-733,T,R,T,R
data_2_sRT,2_sRT-267-122-744,T,R,T,R
data_2_sRT,2_sRT-267-122-755,T,R,T,R
data_2_sRT,2_sRT-267-122-767,T,R,T,R
data_2_sRT,2_sRT-267-122-778,T,R,T,R
data_2_sRT,2_sRT-267-122-789,T,R,T,R
data_2_sRT,2_sRT-267-122-801,T,R,T,R
data_2_sRT,2_sRT-267-122-812,T,R,T,R
data_2_sRT,2_sRT-267-122-823,T,R,T,R
data_2_sRT,2_sRT-267-122-834,T,R,T,R
data_2_sRT,2_sRT-267-122-846,T,R,T,R
data_2_sRT,2_sRT-267-122-857,T,R,T,R
data_2_sRT,2_sRT-267-122-868,T,R,T,R
data_2_sRT,2_sRT-267-122-880,T,R,T,R
data_2_sRT,2_sRT-267-122-891,T,R,T,R
data_2_sRT,2_sRT-267-122-902_K,T,R,T,R
data_2_sRT,2_sRT-267-122-914_K,T,R,T,R
data_2_sRT,2_sRT-267-122-925_K,T,R,T,R
data_2_sRT,2_sRT-267-122-936,T,R,T,R
data_2_sRT,2_sRT-267-122-947,T,R,T,R
data_2_sRT,2_sRT-267-122-959,T,R,T,R
data_2_sRT,2_sRT-267-122-970,T,R,T,R
data_2_sTL,2_sTL-142-186-025,T,L,T,L
data_2_sTL,2_sTL-142-186-102,T,L,T,L
data_2_sTL,2_sTL-142-186-155,T,L,T,L
data_2_sTL,2_sTL-142-186-208,T,L,T,L
data_2_sTL,2_sTL-142-186-262,T,L,T,L
data_2_sTL,2_sTL-142-186-315,T,L,T,L
data_2_sTL,2_sTL-142-186-368,T,L,T,L
data_2_sTL,2_sTL-142-186-421,T,L,T,L
data_2_sTL,2_sTL-142-186-475,T,L,T,L
data_2_sTL,2_sTL-142-186-528,T,L,T,L
